title                                                                     user_score  critic_score  title
AstroPop                                                                  54          78            Astropop
Asteroids & Deluxe                                                        50          55            Asteroids & Deluxe
Assault Heroes 2                                                          53          75            Assault Heroes 2
Army of Two                                                               75          72            Army of Two
Aqua                                                                      82          61            Aqua
Alien Hominid HD                                                          75          79            Alien Hominid HD
Alice: Madness Returns                                                    80          70            Alice: Madness Returns
Alan Wake                                                                 81          83            Alan Wake
Age of Booty                                                              72          76            Age of Booty
Aegis Wing                                                                70          58            Aegis Wing
ARKANOID Live!                                                            36          58            ARKANOID Live!
A World of Keflings                                                       66          77            A World of Keflings
A Kingdom for Keflings                                                    69          78            A Kingdom for Keflings
0 Day Attack on Earth                                                     45          41            0 day Attack on Earth
Pinball FX 2: Marvel Pinball - Vengeance and Virtue                       tbd         84            
Zero D Beat Drop                                                          tbd         80            
Bust-A-Move Live!                                                         tbd         78            
NCAA Basketball 10                                                        tbd         75            
Hasbro Family Game Night: Sorry! Sliders                                  tbd         74            
Hasbro Family Game Night: Connect Four                                    tbd         74            
Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort           tbd         73            
Gel: Set & Match                                                          tbd         72            
Wallace & Gromit's Grand Adventures, Episode 3: Muzzled!                  tbd         72            
Hasbro Family Game Night: Battleship                                      tbd         72            
Boulder Dash-XL                                                           tbd         71            
Zeit Squared                                                              tbd         71            
NBA 2K10: Draft Combine                                                   tbd         71            
Hasbro Family Game Night: Sorry!                                          tbd         71            
Polar Panic                                                               tbd         70            
Scene It? Movie Night                                                     tbd         70            
NCAA March Madness 08                                                     tbd         69            
Lips: Party Classics                                                      tbd         69            
Diner Dash                                                                tbd         69            
The UnderGarden                                                           tbd         68            
The Biggest Loser: Ultimate Workout                                       tbd         68            
Rotastic                                                                  tbd         66            
Elements of Destruction                                                   tbd         65            
Disney's Meet the Robinsons                                               tbd         65            
Texas Cheat 'Em                                                           tbd         65            
Exit 2                                                                    tbd         65            
TNT Racers                                                                tbd         64            
Time Pilot                                                                tbd         63            
Inferno Pool                                                              tbd         62            
Rainbow Islands: Towering Adventure!                                      tbd         62            
Bakugan: Defenders of the Core                                            tbd         62            
Football Genius - The Ultimate Quiz                                       tbd         61            
Air Conflicts: Secret Wars                                                tbd         61            
SBK Generations                                                           tbd         61            
Buku Sudoku                                                               tbd         60            
Leedmees                                                                  tbd         60            
KrissX                                                                    tbd         59            
The Spiderwick Chronicles                                                 tbd         59            
Dance Paradise                                                            tbd         59            
Rush'n Attack                                                             tbd         58            
Defender                                                                  tbd         58            
Sea Life Safari                                                           tbd         57            
Puzzle Chronicles                                                         tbd         57            
Xevious                                                                   tbd         56            
Crazy Machines Elements                                                   tbd         55            
Smash Court Tennis 3                                                      tbd         55            
RocketBowl                                                                tbd         54            
Minesweeper Flags                                                         tbd         54            
Planet 51                                                                 tbd         53            
Xotic                                                                     tbd         52            
Spare Parts                                                               tbd         52            
Tetris Evolution                                                          tbd         52            
Warlords                                                                  tbd         51            
Yie Ar Kung-Fu                                                            tbd         51            
Qix++                                                                     tbd         51            
Red Johnson's Chronicles - One Against All                                tbd         51            
Battlezone                                                                tbd         50            
Adrenalin Misfits                                                         tbd         50            
World Championship Poker: Featuring Howard Lederer - All In               tbd         49            
Summer Athletics: The Ultimate Challenge                                  tbd         48            
Shadow Assault -Tenchu-                                                   tbd         46            
Red Bull X-Fighters                                                       tbd         45            
Winter Sports 2: The Next Challenge                                       tbd         41            
Dream Chronicles                                                          tbd         36            
Assassin's Creed II                                                       88          90            
The Walking Dead: Episode 5 - No Time Left                                88          89            
The Secret of Monkey Island: Special Edition                              88          88            
Fight Night Round 3                                                       88          86            
The Walking Dead: Season Two Episode 5 - No Going Back                    88          84            
Stacking: The Lost Hobo King                                              88          71            
Batman: Arkham City                                                       87          94            
The Elder Scrolls IV: Oblivion                                            87          94            
Batman: Arkham Asylum                                                     87          92            
Metal Gear Solid HD Collection                                            87          90            
Castlevania: Symphony of the Night                                        87          89            
Brothers: A Tale of Two Sons                                              87          86            
BlazBlue: Continuum Shift                                                 87          85            
BioShock 2: Minerva's Den                                                 87          82            
The Walking Dead: Season Two Episode 3 - In Harm's Way                    87          82            
NBA 2K6                                                                   87          81            
Snoopy Flying Ace                                                         87          80            
Sonic the Hedgehog (Live Arcade)                                          87          77            
Serious Sam HD: The First Encounter                                       87          69            
Biology Battle                                                            87          69            
Speedball 2: Brutal Deluxe                                                87          64            
Project Sylpheed: Arc of Deception                                        87          64            
Matt Hazard: Blood Bath and Beyond                                        87          63            
Samurai Warriors 2                                                        87          52            
The Walking Dead: A Telltale Games Series                                 86          92            
Dark Souls: Artorias of the Abyss                                         86          89            
The Beatles: Rock Band                                                    86          89            
Battlefield: Bad Company 2                                                86          88            
Geometry Wars: Retro Evolved                                              86          86            
The Walking Dead: Episode 2 - Starved for Help                            86          84            
Dark Souls II: Crown of the Ivory King                                    86          83            
Toy Soldiers: Cold War                                                    86          81            
The Walking Dead: Season Two Episode 1 - All That Remains                 86          80            
Sonic's Ultimate Genesis Collection                                       86          79            
Tales of Vesperia                                                         86          79            
Garou: Mark of the Wolves                                                 86          77            
Culdcept Saga                                                             86          75            
Stoked                                                                    86          68            
Spider-Man: Web of Shadows                                                86          68            
Samurai Warriors 2 Empires                                                86          53            
The Elder Scrolls V: Skyrim                                               85          96            
Grand Theft Auto IV: The Ballad of Gay Tony                               85          89            
Mass Effect 2: Lair of the Shadow Broker                                  85          87            
The Elder Scrolls IV: Shivering Isles                                     85          86            
BlazBlue: Calamity Trigger                                                85          86            
Tomb Raider                                                               85          86            
Bastion                                                                   85          86            
BioShock Infinite: Burial at Sea - Episode Two                            85          84            
Need for Speed: Most Wanted                                               85          83            
Pac-Man Championship Edition                                              85          83            
Poker Smash                                                               85          81            
Condemned 2: Bloodshot                                                    85          80            
Space Invaders Infinity Gene                                              85          80            
FlatOut: Ultimate Carnage                                                 85          80            
Ghostbusters: The Video Game                                              85          79            
Naruto: Rise of a Ninja                                                   85          78            
Devil May Cry HD Collection                                               85          77            
Birds of Steel                                                            85          77            
Transformers: War for Cybertron                                           85          76            
The Wolf Among Us: Episode 4 - In Sheep's Clothing                        85          74            
Naruto Shippuden: Ultimate Ninja Storm 2                                  85          74            
Virtual-On: Oratorio Tangram Ver.5.66                                     85          73            
CellFactor: Psychokinetic Wars                                            85          70            
Madballs in Babo: Invasion                                                85          68            
Dragon Ball Z Budokai HD Collection                                       85          63            
GEON: emotions                                                            85          59            
Vigilante 8: Arcade                                                       85          58            
NHL 10                                                                    84          88            
Red Dead Redemption: Undead Nightmare Pack                                84          87            
Borderlands 2: Tiny Tina's Assault on Dragon Keep                         84          86            
Skate                                                                     84          86            
Project Gotham Racing 4                                                   84          85            
Lara Croft and the Guardian of Light                                      84          85            
Trials Evolution: Origin of Pain                                          84          85            
Monkey Island 2 Special Edition: LeChuck's Revenge                        84          85            
The Wolf Among Us: Episode 1 - Faith                                      84          82            
Far Cry 3: Blood Dragon                                                   84          80            
LEGO The Lord of the Rings                                                84          80            
Metro: Last Light                                                         84          80            
UEFA EURO 2008                                                            84          80            
The Bigs                                                                  84          79            
Transformers: Fall of Cybertron                                           84          79            
DoDonPachi Resurrection                                                   84          77            
Deathsmiles                                                               84          76            
Disney/Pixar Toy Story 3                                                  84          76            
Rock of Ages                                                              84          72            
Hell Yeah! Wrath of the Dead Rabbit                                       84          70            
NIER                                                                      84          67            
Grand Theft Auto V                                                        83          97            
Geometry Wars: Retro Evolved 2                                            83          90            
Forza Motorsport 2                                                        83          90            
Assassin's Creed: Brotherhood                                             83          89            
NHL 09                                                                    83          88            
Tom Clancy's Rainbow Six Vegas                                            83          88            
Super Street Fighter II Turbo HD Remix                                    83          88            
The Walking Dead: Episode 3 - Long Road Ahead                             83          88            
Puzzle Quest: Challenge of the Warlords                                   83          87            
Pinball FX 2: Marvel Pinball                                              83          86            
Mortal Kombat                                                             83          86            
The Wolf Among Us: Episode 5 - Cry Wolf                                   83          85            
Bionic Commando Rearmed                                                   83          85            
Borderlands 2: Mr. Torgue's Campaign of Carnage                           83          83            
Pinball Hall of Fame: The Williams Collection                             83          83            
Fallout 3: Broken Steel                                                   83          82            
The Walking Dead: Episode 4 - Around Every Corner                         83          82            
Bully: Scholarship Edition                                                83          80            
WWE SmackDown vs. Raw 2010                                                83          80            
The Walking Dead: Season Two Episode 2 - A House Divided                  83          80            
OutRun Online Arcade                                                      83          79            
Banjo-Kazooie                                                             83          77            
Streets of Rage 2                                                         83          76            
Overlord                                                                  83          76            
Assassin's Creed: Brotherhood - The Da Vinci Disappearance                83          75            
X-Men Origins: Wolverine                                                  83          75            
SBK X: Superbike World Championship                                       83          74            
Banjo-Tooie                                                               83          73            
Mini Ninjas                                                               83          73            
Pid                                                                       83          72            
Bomberman Live: Battlefest                                                83          70            
L.A. Noire: Nicholson Electroplating Disaster                             83          70            
Earth Defense Force: Insect Armageddon                                    83          68            
Universe at War: Earth Assault                                            83          66            
Fatal Fury Special                                                        83          63            
Ben 10 Alien Force: Vilgax Attacks                                        83          61            
Rock Band 3                                                               82          93            
Rock Band 2                                                               82          92            
Forza Motorsport 4                                                        82          91            
Pinball FX 2                                                              82          88            
DiRT 2                                                                    82          87            
NHL 08                                                                    82          85            
Top Spin 4                                                                82          84            
Mass Effect 3: Citadel                                                    82          84            
Might & Magic: Clash of Heroes                                            82          84            
Fallout 3: Point Lookout                                                  82          83            
2010 FIFA World Cup South Africa                                          82          83            
Blur                                                                      82          82            
College Hoops 2K7                                                         82          82            
Condemned: Criminal Origins                                               82          81            
The Dishwasher: Vampire Smile                                             82          81            
Borderlands: The Zombie Island of Dr. Ned                                 82          81            
IL-2 Sturmovik: Birds of Prey                                             82          80            
The King of Fighters XIII                                                 82          79            
DeathSpank                                                                82          79            
Marble Blast Ultra                                                        82          79            
Rocksmith                                                                 82          77            
The Wolf Among Us: Episode 3 - A Crooked Mile                             82          77            
The Adventures of Shuggy                                                  82          77            
Call of Juarez: Gunslinger                                                82          76            
Brothers in Arms: Hell's Highway                                          82          76            
Hydro Thunder Hurricane                                                   82          75            
The Saboteur                                                              82          73            
UEFA Champions League 2006-2007                                           82          72            
Resident Evil Code: Veronica X HD                                         82          67            
Dynasty Warriors 5 Empires                                                82          61            
Otomedius Excellent                                                       82          48            
Guitar Hero II                                                            81          92            
Forza Motorsport 3                                                        81          92            
NBA 2K11                                                                  81          89            
Fight Night Round 4                                                       81          87            
Dance Central 2                                                           81          86            
Tom Clancy's Splinter Cell Double Agent                                   81          85            
Dead or Alive 4                                                           81          85            
Devil May Cry 4                                                           81          84            
Guitar Hero: Metallica                                                    81          84            
Fallout: New Vegas - Old World Blues                                      81          83            
The Elder Scrolls V: Skyrim - Dragonborn                                  81          82            
The Chronicles of Riddick: Assault on Dark Athena                         81          82            
Renegade Ops                                                              81          81            
Skulls of the Shogun                                                      81          81            
Duke Nukem 3D                                                             81          80            
Dark Souls II: Crown of the Sunken King                                   81          80            
Quarrel                                                                   81          79            
Orcs Must Die!                                                            81          79            
DeathSpank: Thongs of Virtue                                              81          78            
Lost Planet: Extreme Condition Colonies Edition                           81          78            
Marvel vs. Capcom Origins                                                 81          78            
The Gunstringer                                                           81          77            
Zone of the Enders HD Collection                                          81          75            
Smash T.V.                                                                81          75            
Majin and the Forsaken Kingdom                                            81          74            
Binary Domain                                                             81          74            
Left 4 Dead 2: The Passing                                                81          74            
Zeno Clash: Ultimate Edition                                              81          74            
Scene It? Lights, Camera, Action                                          81          73            
Warriors Orochi 3                                                         81          71            
Haunt                                                                     81          70            
NFL Head Coach 09                                                         81          67            
Tomb Raider Underworld: Lara's Shadow                                     81          66            
Heroes Over Europe                                                        81          62            
Warriors Orochi 2                                                         81          44            
Rock Band                                                                 80          92            
Trials Evolution                                                          80          90            
Grand Theft Auto IV: The Lost and Damned                                  80          90            
